id,latitude,longitude,district_group,district,price
25554626,37.39567,-5.98883,Casco Antiguo,Feria,97.0
25623607,37.38625,-5.9882,Casco Antiguo,San Bartolomé,112.0
25778676,37.38581,-6.00561,Triana,Triana Casco Antiguo,50.0
25861710,37.39659118652344,-5.995150089263916,Casco Antiguo,"Encarnación, Regina",88.0
25909388,37.39984,-5.99064,Casco Antiguo,Feria,140.0
25915320,37.39203,-5.99062,Casco Antiguo,Alfalfa,35.0
25927283,37.38844,-5.98565,Casco Antiguo,San Bartolomé,118.0
25936497,37.3948,-5.99364,Casco Antiguo,"Encarnación, Regina",65.0
26069192,37.37526,-5.97579,Sur,Giralda Sur,92.0
26124989,37.39097,-5.98589,Casco Antiguo,San Bartolomé,134.0
26155526,37.38218,-6.00049,Triana,Triana Casco Antiguo,139.0
26169526,37.38647,-5.98583,Casco Antiguo,San Bartolomé,94.0
26180556,37.39175,-5.98626,Casco Antiguo,Santa Catalina,192.0
26220898,37.38428,-5.9932,Casco Antiguo,Santa Cruz,441.0
26221089,37.38763,-5.99722,Casco Antiguo,Arenal,138.0
26295822,37.3914,-5.98767,Casco Antiguo,Santa Catalina,117.0
26319483,37.39227,-5.98824,Casco Antiguo,Santa Catalina,64.0
26321274,37.38591,-5.99852,Casco Antiguo,Arenal,95.0
26418803,37.40954,-5.96541,Macarena - Norte,Aeropuerto Viejo,109.0
26433770,37.40256,-5.98032,Macarena,Retiro Obrero,81.0
26522977,37.37996,-6.01321,Triana,Barrio León,53.0
26674380,37.377,-6.0033,Los Remedios,Los Remedios,164.0
26683238,37.40239,-5.99253,Casco Antiguo,San Gil,95.0
26773229,37.3765,-5.99772,Los Remedios,Los Remedios,239.0
26775201,37.40167236328125,-5.990835189819336,Casco Antiguo,San Gil,87.0
26780487,37.39066,-5.99457,Casco Antiguo,Alfalfa,125.0
26811703,37.38889,-5.99858,Casco Antiguo,Arenal,88.0
26863994,37.38378,-5.99369,Casco Antiguo,Santa Cruz,258.0
26864010,37.383782,-5.993693,Casco Antiguo,Santa Cruz,232.0
