listing_id,num_reviews_sampled,avg_sentiment_score,num_reviews_total,sentiment_label
12792826,30,0.6714,281,Positiv
12801640,30,0.8114,144,Positiv
12817783,1,0.8511,1,Positiv
12818077,2,0.898,2,Positiv
12829374,30,0.7559,483,Positiv
12846779,30,0.7315,500,Positiv
12860994,30,0.7736,529,Positiv
12878755,30,0.7198,222,Positiv
12901985,7,0.9015,7,Positiv
12909536,25,0.8256,25,Positiv
12940189,30,0.885,42,Positiv
12944536,30,0.7554,153,Positiv
12978432,30,0.8883,300,Positiv
12978516,30,0.8419,145,Positiv
12985003,30,0.868,53,Positiv
13001411,30,0.7755,50,Positiv
13040196,30,0.8203,188,Positiv
13057797,17,0.7227,17,Positiv
13091462,6,0.9286,6,Positiv
13164708,30,0.8011,495,Positiv
13195953,30,0.762,468,Positiv
13196201,30,0.7761,413,Positiv
13197282,30,0.8588,73,Positiv
13202571,30,0.815,495,Positiv
13214391,30,0.8576,307,Positiv
13243513,30,0.7662,375,Positiv
13243782,30,0.6758,341,Positiv
13256128,30,0.709,577,Positiv
13290413,30,0.7771,109,Positiv
13292534,30,0.7442,323,Positiv
13385132,30,0.696,39,Positiv
13401286,30,0.8292,325,Positiv
13404131,30,0.8907,78,Positiv
13410184,30,0.7466,415,Positiv
13421211,30,0.7755,168,Positiv
13438413,15,0.666,15,Positiv
13457532,30,0.8494,641,Positiv
13500588,30,0.6176,231,Positiv
13502885,30,0.7682,69,Positiv
13522887,30,0.7664,210,Positiv
13545292,30,0.7363,345,Positiv
13646748,30,0.8932,170,Positiv
13651915,30,0.9091,182,Positiv
13720380,30,0.8224,766,Positiv
13724093,30,0.88,229,Positiv
13775613,30,0.8412,39,Positiv
13804135,30,0.7566,378,Positiv
13807681,30,0.7881,524,Positiv
13868007,30,0.848,38,Positiv
13957668,30,0.8116,56,Positiv
14009016,30,0.7374,224,Positiv
14025201,30,0.7981,67,Positiv
14061830,30,0.7606,343,Positiv
14062759,30,0.8352,215,Positiv
14068184,30,0.7708,369,Positiv
14079697,30,0.5492,52,Positiv
14081047,30,0.7997,35,Positiv
14082955,30,0.6968,515,Positiv
14089509,30,0.8922,168,Positiv
14097425,30,0.7535,339,Positiv
14135685,30,0.7617,203,Positiv
14176940,30,0.7547,261,Positiv
14208332,30,0.773,112,Positiv
14227456,30,0.6841,82,Positiv
14227964,30,0.7295,118,Positiv
14257933,30,0.6643,218,Positiv
14261242,30,0.78,137,Positiv
14307471,30,0.6302,563,Positiv
14310140,15,0.8772,15,Positiv
14313091,30,0.6188,176,Positiv
14315400,30,0.8014,204,Positiv
14346905,30,0.7564,515,Positiv
14364405,30,0.8053,39,Positiv
14370214,30,0.74,136,Positiv
14374390,30,0.7841,53,Positiv
14396807,30,0.7031,238,Positiv
14397935,30,0.8188,92,Positiv
14412950,30,0.6845,115,Positiv
14443987,30,0.8578,156,Positiv
14484010,30,0.7725,83,Positiv
14494208,30,0.7475,356,Positiv
14495726,30,0.8567,146,Positiv
14513723,30,0.7126,32,Positiv
14550481,19,0.8676,19,Positiv
14642596,30,0.7541,562,Positiv
14657255,30,0.7804,240,Positiv
14683448,30,0.7128,113,Positiv
14738438,30,0.7699,486,Positiv
14742307,30,0.7559,577,Positiv
14745606,30,0.7492,281,Positiv
14782589,30,0.8329,145,Positiv
14818806,19,0.6813,19,Positiv
14834225,30,0.7744,271,Positiv
14864927,15,0.8606,15,Positiv
14868987,30,0.6485,317,Positiv
14869103,30,0.698,370,Positiv
14890533,6,0.823,6,Positiv
14892992,30,0.817,289,Positiv
14893417,30,0.8203,208,Positiv
14911924,30,0.8614,190,Positiv
14928638,30,0.8813,389,Positiv
14957234,30,0.7531,40,Positiv
14989548,30,0.8322,260,Positiv
15011300,30,0.771,50,Positiv
15036684,7,0.8526,7,Positiv
